"Source: Forbes Billionaires List Data - Forbes 400, Oct. 9, 2000. Data came from the magazine.",,,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Industry,Gender,City,State,Wealth (in Billions),,,,,,,,,,,,,,
David A. Duffield,Duffield,189,"$1,500 ",60,PeopleSoft Inc.,,M,Lake Tahoe,CA,$1.5 ,,,,,,,,,,,,,,
Robert J. Fisher,Fisher,189,"$1,500 ",46,Gap,,M,San Francisco,CA,$1.5 ,,,,,,,,,,,,,,
Robert William Galvin,Galvin,189,"$1,500 ",77,Motorola,,M,Barrington Hills,IL,$1.5 ,,,,,,,,,,,,,,
Richard N. Goldman,Goldman,189,"$1,500 ",80,Inheritance (Levi Strauss),,M,San Francisco,CA,$1.5 ,,,,,,,,,,,,,,
Stanley Stub Hubbard,Hubbard,189,"$1,500 ",67,Broadcasting,,M,St. Mary's Point,MN,$1.5 ,,,,,,,,,,,,,,
Irwin Mark Jacobs,Jacobs,189,"$1,500 ",66,Qualcomm,,M,San Diego,CA,$1.5 ,,,,,,,,,,,,,,
Henry R. Kravis,Kravis,189,"$1,500 ",56,Leveraged buyouts,,M,New York,NY,$1.5 ,,,,,,,,,,,,,,
Joseph A. Liemandt,Liemandt,189,"$1,500 ",32,Software,,M,Austin,TX,$1.5 ,,,,,,,,,,,,,,
Richard Taylor Peery,Peery,189,"$1,500 ",60,Real estate,,M,Palo Alto,CA,$1.5 ,,,,,,,,,,,,,,
Richard Edward Rainwater,Rainwater,189,"$1,500 ",56,Investments,,M,Forth Worth,TX,$1.5 ,,,,,,,,,,,,,,
George R. Roberts,Roberts,189,"$1,500 ",56,Leveraged buyouts,,M,San Francisco,CA,$1.5 ,,,,,,,,,,,,,,
