Source: Forbes Billionaires List Data,,,,,,,,
Name and Rank,Wealth (Millions),Surname,World Rank,Age,Wealth Source,Industry,Gender,State
Igor Olenicoff,"$3,900",Olenicoff,468,77,real estate,Real Estate,M,Florida
Steven Udvar-Hazy,"$3,900",Udvar-Hazy,468,74,aircraft leasing,Service,M,California
Harry Stine,"$3,800",Stine,484,78,agriculture,Food & Beverage,M,Iowa
Marian Ilitch,"$3,800",Ilitch,484,87,Little Caesars,Food & Beverage,F,Michigan
Mary Alice Dorrance Malone,"$3,800",Malone,484,70,Campbell Soup,Food & Beverage,F,Pennsylvania
Jeff Sutton,"$3,800",Sutton,484,60,real estate,Real Estate,M,New York
Trevor Rees-Jones,"$3,700",Rees-Jones,494,68,oil & gas,Energy,M,Texas
David Bonderman,"$3,700",Bonderman,494,77,private equity,Finance & Investments,M,Texas
Michael Milken,"$3,700",Milken,494,73,investments,Finance & Investments,M,California
Mitchell Rales,"$3,700",Rales,494,63,"manufacturing, investments",Manufacturing,M,Maryland
Reed Hastings,"$3,700",Hastings,494,59,Netflix,Media & Entertainment,M,California
Jeff Greene,"$3,700",Greene,494,65,"real estate, investments",Real Estate,M,Florida
Neil Bluhm,"$3,700",Bluhm,494,82,real estate,Real Estate,M,Illinois
Ted Lerner,"$3,700",Lerner,494,94,real estate,Real Estate,M,Maryland
Dannine Avara,"$3,600",Avara,514,56,pipelines,Energy,F,Texas
Milane Frantz,"$3,600",Frantz,514,50,pipelines,Energy,F,Texas
Randa Duncan Williams,"$3,600",Williams,514,58,pipelines,Energy,F,Texas
Scott Duncan,"$3,600",Duncan,514,37,pipelines,Energy,M,Texas
Roger Wang,"$3,600",Wang,514,71,retail,Fashion & Retail,M,
Rodger Riney,"$3,600",Riney,514,74,discount brokerage,Finance & Investments,M,Missouri
Lynsi Snyder,"$3,600",Snyder,514,37,In-N-Out Burger,Food & Beverage,F,California
Steven Spielberg,"$3,600",Spielberg,514,73,movies,Media & Entertainment,M,California
Donald Sterling,"$3,600",Sterling,514,85,real estate,Real Estate,M,California
Gary Rollins,"$3,600",Rollins,514,75,pest control,Service,M,Georgia
Dagmar Dolby,"$3,600",Dolby,514,78,Dolby Laboratories,Technology,F,California
Thomas Siebel,"$3,600",Siebel,514,67,business software,Technology,M,California
Frank VanderSloot,"$3,500",VanderSloot,538,71,"nutrition, wellness products",Fashion & Retail,M,Idaho
Douglas Leone,"$3,500",Leone,538,62,venture capital,Finance & Investments,M,California
Paul Singer,"$3,500",Singer,538,75,hedge funds,Finance & Investments,M,New York
Gabe Newell,"$3,500",Newell,538,57,videogames,Gambling & Casinos,M,Washington
"Amos Hostetter, Jr.","$3,500",Hostetter,538,83,cable television,Media & Entertainment,M,Massachusetts
