Source: Forbes Billionaires List Data,,,,,,,,,,,,,,,,,,,,,,
Name and Rank,Surname,World Rank,Wealth (Millions),Age,Wealth Source,Industry,Gender,City,State,,,,,,,,,,,,,
Jeff Skoll,Skoll,394,"$4,700 ",54,eBay,Technology,M,Palo Alto,CA,,,,,,,,,,,,,
David Sun,Sun,394,"$4,700 ",68,computer hardware,Technology,M,Irvine,CA,,,,,,,,,,,,,
John Tu,Tu,394,"$4,700 ",78,computer hardware,Technology,M,Rolling Hills,CA,,,,,,,,,,,,,
Ray Lee Hunt,Hunt,394,"$4,700 ",76,"oil, real estate",Energy,M,Dallas,TX,,,,,,,,,,,,,
Stanley Druckenmiller,Druckenmiller,413,"$4,600 ",66,hedge funds,Finance & Investments,M,New York,NY,,,,,,,,,,,,,
Tamara Gustavson,Gustavson,413,"$4,600 ",58,self storage,Service,F,Malibu,CA,,,,,,,,,,,,,
Sumner Redstone,Redstone,413,"$4,600 ",96,media,Media & Entertainment,M,Beverly Hills,CA,,,,,,,,,,,,,
Les Wexner,Wexner,413,"$4,600 ",82,retail,Fashion & Retail,M,New Albany,OH,,,,,,,,,,,,,
Rocco Commisso,Commisso,424,"$4,500 ",70,telecom,Telecom,M,Saddle River,NJ,,,,,,,,,,,,,
Terrence Pegula,Pegula,424,"$4,500 ",68,natural gas,Energy,M,Boca Raton,FL,,,,,,,,,,,,,
"Walter Scott, Jr.",Scott,424,"$4,500 ",88,"utilities, telecom",Energy,M,Omaha,NE,,,,,,,,,,,,,
John Sall,Sall,436,"$4,400 ",71,software,Technology,M,Cary,NC,,,,,,,,,,,,,
Gwendolyn Sontheim Meyer,Meyer,452,"$4,300 ",58,Cargill,Food & Beverage,F,Rancho Santa Fe,CA,,,,,,,,,,,,,
Isaac Perlmutter,Perlmutter,452,"$4,300 ",77,Marvel comics,Media & Entertainment,M,Palm Beach,FL,,,,,,,,,,,,,
"Julian Robertson, Jr.",Robertson,452,"$4,300 ",87,hedge funds,Finance & Investments,M,Locust Valley,NY,,,,,,,,,,,,,
Gary Rollins,Rollins,452,"$4,300 ",75,pest control,Service,M,Atlanta,GA,,,,,,,,,,,,,
Henry Samueli,Samueli,452,"$4,300 ",65,semiconductors,Technology,M,Newport Beach,CA,,,,,,,,,,,,,
Jeff Sutton,Sutton,452,"$4,300 ",59,real estate,Real Estate,M,New York,NY,,,,,,,,,,,,,
